Acc.Number,Leaf blade length [cm],Leaf blade width [cm],Culm length [cm],Panicle length [cm],Ligule length [mm],Culm diameter [mm],Total number of tillers ,Number of fertile tillers ,Ligule Shape,Plant Type
WAB0027154,"54,20","1,27","147,67","24,75","2,14","0,57",20,18,,
WAB0027190,"37,78","1,57","114,27","26,23","5,69","6,32",12,11,,
WAB0027202,"37,26","1,67","126,97","27,06",,"0,51",18,15,,
WAB0029718,"62,93","2,00","148,65","31,93","1,35","0,65",17,14,,
WAB0030271,"26,90","1,20","78,67","23,90","1,30","5,43",13,11,ACUTE TO ACCUMUNATE,ERECT
WAB0030454,"48,69","1,28","133,24","27,73",,"0,55",19,17,,
WAB0030554,"49,31","1,53","124,47","26,68","1,05","0,83",25,15,,
WAB0030591,"34,28","1,10","100,17","30,50","2,43","6,37",12,10,ACUTE TO ACCUMUNATE,ERECT
WAB0030596,"58,13","2,03","166,37","26,37","2,13","5,47",14,11,,
WAB0030599,"23,48","1,10","77,67","28,07","1,43","7,67",21,17,CLEFT,ERECT
WAB0030613,"26,19","1,54","127,32","30,02","1,23",,12,10,,
WAB0030630,"34,83","1,97","128,04","32,91",,"6,71",18,12,,
WAB0030644,"31,66","1,10","97,33","29,67","1,40","7,03",11,7,ACUTE TO ACCUMUNATE,ERECT
WAB0030660,"42,44","1,26","97,80","28,73",,"3,43",24,15,,
WAB0030683,"23,20","0,90","77,17","22,80","1,27","9,30",4,3,CLEFT,ERECT
WAB0030702,"39,48","1,37","85,83","29,03","6,83","8,57",6,5,ACUTE TO ACCUMUNATE,ERECT
WAB0030712,"41,04","1,82","126,30","29,91",,"0,51",16,14,,
WAB0030713,"47,88","2,01","135,02","25,52",,,25,13,,
WAB0030724,"37,66","2,00","115,30","25,54",,"0,69",25,13,,
WAB0030725,"42,58","1,72","140,48","29,58",,"0,53",22,20,,
WAB0030729,"24,40","0,90","94,00","31,50","1,80","7,10",10,8,ACUTE TO ACCUMUNATE,ERECT
WAB0030751,"43,89","2,47","134,03","31,12","0,53","0,52",21,15,,
WAB0030752,"43,21","1,55","130,60","25,27",,"0,58",31,26,,
WAB0030766,"42,30","1,57","123,23","24,40","1,63","5,90",12,8,,
WAB0030775,"44,63","1,83","140,01","30,04",,"3,02",20,18,,
WAB0030797,"39,38","1,43","125,91","27,98",,"0,52",23,22,,
WAB0030840,"29,58","1,30","122,00","26,15","2,25","8,40",45,44,ACUTE TO ACCUMUNATE,ERECT
WAB0030843,"34,68","1,93","101,67","24,93","0,33","5,87",33,31,TIP ROUND OR TRUNCATE,INTERMEDIATE
WAB0030870,"34,22","1,33","113,67","27,50","1,33","6,77",9,8,ACUTE TO ACCUMUNATE,ERECT
WAB0030872,"32,20","1,27","107,67","25,43","1,30","5,73",8,7,CLEFT,ERECT
WAB0030897,"22,72","1,00","83,00","19,50","1,27","5,33",4,3,CLEFT,ERECT
WAB0030943,"43,07","1,47","113,54","27,18",,"0,59",9,14,,
WAB0030949,"58,05","1,34","98,40","28,09","2,40","6,60",7,6,,
WAB0030968,"29,60","2,17","108,38","29,16",,"0,58",20,17,,
WAB0030970,"38,45","1,63","122,78","25,01",,,14,9,,
WAB0031012,"44,73","1,27",,"19,67",,,25,25,,
WAB0031021,"39,27","2,10","94,15","22,39",,,11,14,,
WAB0031023,"24,96","1,40","91,67","25,33","1,27","8,63",2,2,CLEFT,INTERMEDIATE
WAB0031024,"23,94","1,07","115,17","27,07","1,43","5,43",18,17,ACUTE TO ACCUMUNATE,OPEN
WAB0031026,"38,79","1,33","130,54","26,62",,"0,60",14,9,,
WAB0031041,"35,22",,"80,95","27,48",,"3,80",35,12,,
WAB0031082,"24,94","1,37","104,00","24,97","0,23","4,97",29,18,TIP ROUND OR TRUNCATE,INTERMEDIATE
WAB0031115,"31,69","1,43","113,83","28,97",,"0,65",14,9,,
WAB0031145,"39,83","1,32","128,21","22,67","0,50","0,56",19,15,,
WAB0031161,"36,07","1,66","117,02","28,92",,,13,10,,
WAB0023311,"18,65","1,20","75,00","28,10","0,30","4,30",54,26,TIP ROUND OR TRUNCATE,INTERMEDIATE
WAB0016497,"32,58","1,35","99,00","38,40","0,30","7,15",45,28,CLEFT,INTERMEDIATE
WAB0031170,"37,47","1,71","122,00","32,25",,"0,53",19,18,,
WAB0031172,"40,58","1,54","115,23","30,07",,"0,53",17,11,,
WAB0031174,"25,10","1,10","75,00","23,50","2,70","5,60",24,19,CLEFT,ERECT
WAB0031175,"40,00","1,74","100,07","26,63",,"4,50",33,7,,
WAB0031179,"36,53","1,55","110,37","28,56",,"0,58",21,17,,
WAB0031186,"37,50","1,67","128,20","24,13",,"0,61",13,12,,
WAB0031200,"41,28","1,92","142,95","27,48","1,71","0,55",17,15,,
WAB0031202,"30,60","1,54","131,33","24,68","0,87",,11,10,,
WAB0031211,"53,00","2,23","138,75","25,13",,,12,12,,
WAB0031214,"40,50","1,52","111,84","22,40",,"0,54",16,23,,
WAB0031218,"41,96","1,50","137,19","29,08",,,16,15,,
WAB0031226,"50,50","1,83","123,65","27,13",,"2,42",21,15,,
WAB0031227,"39,79","1,53","138,53","30,62",,"0,52",21,17,,
WAB0031232,"28,36","1,10","92,67","23,27","1,83","6,30",11,10,CLEFT,ERECT
WAB0031233,"54,12",,"144,51","30,28",,"0,65",28,24,,
WAB0031235,"47,56",,"91,09","29,14","2,19","5,93",10,9,,
WAB0031255,"40,18","1,39","171,73","27,35","1,78","6,30",9,8,,
WAB0031259,"51,57","2,03","97,90","23,91","1,21","5,57",39,20,,
WAB0031270,"39,60","1,59","175,00","28,68","1,78","5,11",9,8,,
WAB0031304,"41,67","1,47","147,20","25,93",,,14,11,,
WAB0031309,"32,54","1,97","114,42","25,17",,"0,54",23,15,,
WAB0031315,"21,60","1,33","72,67","25,70","0,20","5,33",13,11,TIP ROUND OR TRUNCATE,INTERMEDIATE
WAB0031323,"36,20","1,87","137,15","27,68",,,10,9,,
WAB0031376,"45,23","2,33","143,22","32,07",,"0,70",14,12,,
WAB0031435,"24,60","1,00","84,00","23,50","1,70","6,60",54,43,ACUTE TO ACCUMUNATE,ERECT
WAB0031443,"27,13","1,98","87,36","22,87",,"3,53",38,12,,
WAB0031448,"21,83","1,05","65,00","27,10","1,30","6,20",27,23,CLEFT,ERECT
WAB0031488,"35,24","2,01","100,90","26,96",,,21,18,,
WAB0031506,"43,19","1,78","120,60","26,51",,"0,56",19,15,,
WAB0031511,"20,15","1,10","64,00","27,60","1,60","3,90",37,27,ACUTE TO ACCUMUNATE,ERECT
WAB0031541,"43,47","1,40","134,37","24,50","2,13","5,18",10,9,,
WAB0031552,"37,93","1,60","135,74","26,85",,,22,19,,
WAB0031553,"47,07",,"87,83","25,37","1,57","5,50",8,7,,
WAB0031554,"38,93","1,97","111,14","22,67",,"0,51",22,7,,
WAB0022364,"32,47","1,55","121,00","25,51",,,11,9,,
WAB0031555,"28,50",,"155,33","29,24",,,10,8,,
WAB0031558,"26,22","1,43","99,67","24,30","0,47","5,17",14,13,TIP ROUND OR TRUNCATE,ERECT
WAB0031559,"51,76","2,20","123,00","23,13","0,50",,9,13,,
WAB0031564,"33,85",,"111,76","23,00",,"4,00",37,22,,
WAB0031566,"46,01","1,96","134,83","25,23",,"0,52",15,12,,
WAB0031567,"34,08","1,24","126,03","29,97","2,19","7,23",19,12,,
WAB0031568,"34,59",,"101,51","23,49",,"0,65",12,10,,
WAB0031571,"36,89","1,80","127,80","25,53",,"0,52",14,12,,
WAB0031575,"37,55","1,40","141,07","26,46",,,19,12,,
WAB0031584,"27,90","1,67","101,33","26,03","1,20","8,10",7,4,ACUTE TO ACCUMUNATE,ERECT
WAB0031594,"27,68","1,10","108,33","25,37","1,73","5,50",12,9,CLEFT,ERECT
WAB0031605,"44,08",,"109,14","29,29",,,17,32,,
WAB0031607,"45,39","1,56","118,65","28,23","0,68","7,97",19,10,,
WAB0031612,"27,20","1,40","98,33","29,00","2,03","5,93",18,17,ACUTE TO ACCUMUNATE,ERECT
WAB0031630,"39,60","1,65","84,60","25,69",,"6,28",23,,,
WAB0031635,,"1,85","142,10","27,70",,,12,9,,
WAB0031641,"39,66","1,19","130,80","31,65",,,17,10,,
WAB0031645,"25,86","1,23","87,83","27,07","3,30",,6,5,CLEFT,ERECT
WAB0031651,"24,96","0,97","91,00","26,33","1,20","8,43",3,3,CLEFT,ERECT
WAB0031665,"40,97","1,82","105,70","28,93",,"0,54",16,16,,
WAB0031667,"32,39",,"116,74","25,16",,,16,13,,
WAB0031669,"51,46","1,58","108,09","23,39","2,16","6,30",15,14,,
WAB0031677,"38,92","1,60","124,73","26,44",,,55,53,,
WAB0031679,"42,24","2,15","113,43","27,16",,"0,72",16,9,,
WAB0031683,"45,98",,"129,21","27,28",,,24,21,,
WAB0031686,"34,78","1,63","130,22","25,73",,"2,69",18,17,,
WAB0031687,"32,70","1,60","122,62","26,88","0,55",,20,16,,
WAB0031690,"16,90","0,80","56,83","17,03","0,70","6,20",2,2,ACUTE TO ACCUMUNATE,ERECT
WAB0031710,"32,92","1,73","99,32","25,76",,,12,21,,
WAB0031801,"42,71","1,90","105,84","24,89",,"4,80",40,15,,
WAB0031815,"39,00",,"121,62","30,18",,,11,9,,
WAB0031823,"22,22","1,00","81,00","28,17","2,00","6,60",15,13,CLEFT,INTERMEDIATE
WAB0031836,"44,08","2,00","94,07","24,77","1,58","5,80",11,9,,
WAB0031839,"22,50","1,17","79,70","25,03","0,27","5,23",12,11,ACUTE TO ACCUMUNATE,ERECT
WAB0031843,"58,11","1,28","144,24","26,76","0,51","0,57",14,13,,
WAB0031845,"33,02","1,47","118,00","28,87","2,00","6,63",16,15,CLEFT,ERECT
WAB0031846,"40,95",,"124,83","27,70",,,17,15,,
WAB0031848,"39,76","1,60","106,00","23,43","1,77","6,37",17,14,CLEFT,ERECT
WAB0031851,"35,61","1,73","122,01","29,72",,"0,55",15,13,,
WAB0031853,"40,35","1,71","132,10","27,13",,"0,56",21,14,,
WAB0031857,"28,05","1,57","100,44","21,82",,"0,50",11,10,,
WAB0031863,"31,06","1,77","99,67","23,50","0,90","6,27",18,15,MIXTURE,MIXTURE
WAB0031873,"48,74","1,73","148,56","28,64",,,21,15,,
WAB0031877,"25,28","1,40","115,50","23,55","1,55","7,10",20,17,ACUTE TO ACCUMUNATE,INTERMEDIATE
WAB0031882,"54,03","1,43","131,02","27,80",,,16,13,,
WAB0031883,"17,94","1,10","83,00","15,30","1,00","5,40",6,6,ACUTE TO ACCUMUNATE,ERECT
WAB0031886,"42,83","2,20","142,96","30,59","0,52","0,55",40,31,,
WAB0031892,"45,42","1,27","84,72","24,10","1,63","7,13",9,7,,
WAB0031894,"40,13","1,52","133,67","23,77",,"0,51",15,13,,
WAB0031899,"34,50","1,57","92,33","25,93","1,93","8,07",9,7,ACUTE TO ACCUMUNATE,ERECT
WAB0031913,"39,06","2,13","125,00","28,97","1,67","7,10",9,8,CLEFT,ERECT
WAB0031914,"33,68","1,83","122,33","27,73","1,67","8,43",5,5,CLEFT,ERECT
WAB0031915,,"2,13","139,80",,,,14,11,,
WAB0031917,"36,43","1,60","99,16","23,29",,"4,30",53,,,
WAB0031920,"50,08","1,87","133,93","25,79",,,23,17,,
WAB0031927,"46,32","2,02","135,02","21,81",,,35,28,,
WAB0031968,"42,83","1,53","138,66","31,83",,"0,62",17,13,,
WAB0031975,"10,15","0,90","71,50","22,45","1,45","6,15",4,2,CLEFT,ERECT
WAB0031983,"41,33","1,63","117,34","28,56",,"2,47",14,15,,
WAB0031992,"33,28","1,73","125,34","26,65",,"0,52",22,14,,
WAB0031993,"56,03","1,66","147,60","29,50","1,72","6,63",21,11,,
WAB0031994,,"1,61","173,90",,,,14,11,,
WAB0032014,"39,18","1,47","127,00","26,70","1,63","8,30",6,5,ACUTE TO ACCUMUNATE,ERECT
WAB0032017,"39,08","1,72","143,20","27,24","1,47","5,73",11,10,,
WAB0032025,"28,14","1,37","98,83","22,47","1,90","6,67",14,8,CLEFT,ERECT
WAB0032061,"28,74","2,53","92,67","28,57","1,93","8,03",15,13,CLEFT,ERECT
WAB0032083,"41,10","1,43","124,50","25,50",,"0,53",15,15,,
WAB0032603,"25,74","1,27","81,00","23,73","1,73","6,20",17,14,CLEFT,ERECT
WAB0032906,"48,27","1,73","143,13","22,53","2,03","5,96",15,6,,
WAB0032932,"33,96","1,75","110,28","26,23",,"0,61",20,15,,
WAB0032980,"23,76","1,20","78,17","27,50","1,27","6,67",7,6,CLEFT,ERECT
WAB0033021,"31,98","1,40","115,00","29,27","1,10","7,20",11,11,CLEFT,ERECT
WAB0033022,"36,43","1,80","113,83","25,00",,,20,13,,
WAB0033042,"45,18","1,77","129,10","25,34",,"0,61",16,12,,
WAB0033076,"36,17","2,10","104,97","25,05","0,52",,16,11,,
WAB0033082,"23,30","1,30","104,50","24,30","1,10","7,60",10,9,CLEFT,ERECT
WAB0033084,"34,74","1,77","125,72","25,46",,,22,15,,
WAB0033087,"30,76","0,90","101,17","27,63","2,03","6,90",12,10,CLEFT,ERECT
WAB0033092,"42,62","1,97","120,15","26,47",,,14,13,,
WAB0033096,"45,24",,"115,74",,"0,54",,23,19,,
WAB0033099,"28,60","1,75","113,00","27,55","1,50","7,95",34,30,ACUTE TO ACCUMUNATE,INTERMEDIATE
WAB0033101,"33,66","1,59","117,31","29,40",,,18,15,,
WAB0033109,"34,99","1,78","131,84","24,73",,"0,60",26,25,,
WAB0033129,"38,25","1,23","121,60","24,36",,"0,55",15,11,,
WAB0033146,"18,54","1,07","72,33","27,50","1,20","5,10",10,9,ACUTE TO ACCUMUNATE,ERECT
WAB0033149,"42,74","1,40","112,14","26,18",,,13,11,,
WAB0033154,"34,18","1,60","110,83","28,48",,,23,18,,
WAB0033169,"41,08","1,78","113,98","23,02",,"4,20",50,20,,
WAB0033180,"80,58","1,33","86,00","22,63","1,63","5,47",14,15,ACUTE TO ACCUMUNATE,ERECT
WAB0033190,"38,43","1,50","122,37","25,31",,"0,55",26,15,,
wab0033194,"46,51","1,79","129,54","22,94",,,30,25,,
WAB0033211,"23,98","1,13","74,50","27,97","1,57","7,53",16,13,CLEFT,ERECT
WAB0033212,"43,43","1,59","128,13","29,66","0,54",,16,12,,
WAB0033214,"31,70","1,33","91,00","30,13","2,07","7,50",9,8,CLEFT,ERECT
WAB0033218,"29,02","1,50","96,67","27,20","1,20","4,27",16,15,CLEFT,ERECT
WAB0033225,"30,46","1,43","134,33","26,60","1,63","6,00",15,13,CLEFT,ERECT
WAB0033227,"40,48","1,00","150,73","32,20",,"0,59",13,12,,
WAB0033228,"27,80","1,10","88,67","23,57","1,77","5,83",19,17,ACUTE TO ACCUMUNATE,ERECT
WAB0033237,"34,20","0,97","105,00","31,97","2,33","8,73",17,14,CLEFT,ERECT
WAB0033239,"20,76","1,23","66,67","23,23","1,43","4,60",18,17,CLEFT,ERECT
WAB0033240,"44,44",,"131,38","23,97","0,52","0,52",35,29,,
WAB0033272,"28,96","1,53","118,00","27,80","1,13","4,87",23,16,ACUTE TO ACCUMUNATE,ERECT
WAB0033304,"28,00","2,13","113,95","25,33",,,7,6,,
WAB0033307,"19,66","0,80","71,67","26,60","1,10","4,97",14,14,ACUTE TO ACCUMUNATE,ERECT
WAB0033311,"22,10","1,23","70,00","26,47","2,27","6,20",10,8,MIXTURE,ERECT
WAB0033313,"21,04","1,07","81,67","23,27","1,80","5,10",15,13,ACUTE TO ACCUMUNATE,ERECT
WAB0033340,"45,43","2,47","156,20","26,54",,"0,65",22,15,,
WAB0033353,"28,30","0,93","94,67","25,67","1,57","6,10",17,16,ACUTE TO ACCUMUNATE,ERECT
WAB0033359,"20,52","1,27","63,67","24,83","1,73","5,33",40,35,CLEFT,ERECT
WAB0033380,"45,53","1,97","118,43","27,78",,"4,00",37,12,,
WAB0033384,"36,53","1,50","120,01","23,49",,"0,54",15,11,,
WAB0033417,"26,10","1,33","77,33","26,10","1,20","6,00",22,20,MIXTURE,ERECT
WAB0033424,"30,28","1,20","129,33","28,70","1,37","5,43",12,8,ACUTE TO ACCUMUNATE,ERECT
WAB0033426,"42,30","1,50","145,00","28,83","3,57","7,43",13,9,ACUTE TO ACCUMUNATE,ERECT
WAB0033434,"36,90","1,42","128,57","29,81",,,12,10,,
WAB0033461,"44,20",,"119,61","23,69","1,07","0,53",19,6,,
WAB0033490,"28,80","2,10","114,00","28,90","1,80","6,80",21,17,ACUTE TO ACCUMUNATE,ERECT
WAB0033492,"49,55","1,64","146,23","19,38",,"0,52",15,11,,
WAB0033519,"37,91","1,90","114,35","24,64",,"0,53",27,23,,
WAB0033529,"34,39","1,60","128,64","24,64","0,64","0,56",34,20,,
WAB0033533,"39,66","1,79","116,27","25,00",,,18,15,,
WAB0033536,"30,72","0,70","107,00","27,70","1,67","4,60",14,14,ACUTE TO ACCUMUNATE,ERECT
WAB0033557,"24,54","0,87","69,67","25,50","1,23","5,30",13,12,CLEFT,ERECT
WAB0033561,"39,48",,"134,89","19,40",,"0,53",15,12,,
WAB0033565,"43,46","2,03","145,84","28,32",,,16,12,,
WAB0033567,"36,59","2,00","89,44","22,14","2,14","5,50",12,11,,
WAB0033586,"36,95",,"118,11","26,50",,,15,9,,
WAB0033587,"42,88",,"118,24","23,67",,"3,87",40,13,,
WAB0033597,"25,16","1,20","83,00","27,33","1,63","5,97",16,15,ACUTE TO ACCUMUNATE,ERECT
WAB0033610,"38,36","1,83","122,01","32,57",,,18,17,,
WAB0033611,"63,73",,"188,53","26,28","1,93","6,95",11,6,,
WAB0033612,"22,10","1,20","81,00","30,60","1,60","7,90",45,43,ACUTE TO ACCUMUNATE,INTERMEDIATE
WAB0010085,"27,35","1,20","114,00","27,50","2,00","8,20",22,19,CLEFT,INTERMEDIATE
WAB0033617,"45,34","1,97","140,47","29,48","0,56","0,56",14,9,,
WAB0033629,"35,42",,"121,11","30,70",,"0,61",12,14,,
WAB0033637,"39,22","1,75","138,63","26,08","1,30","6,54",11,10,,
WAB0033661,"23,28","1,03","84,00","26,03","0,47","4,97",22,18,TIP ROUND OR TRUNCATE,ERECT
WAB0033673,"37,35","2,27","123,88","27,37",,"0,60",24,18,,
WAB0033679,"38,07","1,39","138,70","29,86",,"0,53",19,13,,
WAB0033721,"36,34","1,51","124,04","23,95",,,30,20,,
WAB0033722,,"1,69","161,93","27,46",,,9,8,,
WAB0033743,"35,31","1,73","100,39","29,34",,"0,53",12,8,,
WAB0033749,"34,71",,"131,18","25,66",,"0,62",33,31,,
WAB0033754,"23,86","0,70","71,67","21,33","1,20","5,17",10,6,CLEFT,ERECT
WAB0033759,"24,30","1,41","80,79","24,47","4,82","5,24",20,17,,
WAB0033789,"29,24","1,50","111,67","24,90","0,80","8,40",8,8,ACUTE TO ACCUMUNATE,ERECT
WAB0033844,"35,36","1,85","120,59","26,19",,"0,50",18,13,,
WAB0033864,"25,14","1,33","90,33","29,23","1,27","5,33",11,11,CLEFT,INTERMEDIATE
WAB0033868,"28,08","1,10","99,50","28,35","2,75","7,30",54,39,,
WAB0033873,"42,05","1,50","121,62","22,75",,"0,62",24,14,,
WAB0033904,"55,09","1,97","146,40","26,78","1,26","0,58",18,17,,
WAB0033944,"22,20","1,10","74,00","29,30","2,10","6,70",30,26,ACUTE TO ACCUMUNATE,ERECT
WAB0033984,"28,68","1,60","101,67","27,57","1,87","5,90",13,11,CLEFT,ERECT
WAB0033990,"39,85","1,50","110,72","23,05","0,50","0,58",19,19,,
WAB0033999,"45,02","1,71","140,42","24,13",,"0,60",14,12,,
WAB0034000,"35,77","1,85","121,19","25,82",,"0,50",12,12,,
WAB0034036,"17,74","0,97","63,00","22,57","1,63","4,80",14,12,ACUTE TO ACCUMUNATE,ERECT
WAB0034039,"36,00","1,75","119,29","24,27",,"0,51",18,12,,
WAB0034042,"23,38","1,10","81,67","27,07","1,83","6,60",13,12,ACUTE TO ACCUMUNATE,ERECT
WAB0034068,"44,67","1,74","128,01","25,24",,"0,52",15,14,,
WAB0034071,"47,00","1,33","157,00","34,23","4,07","7,20",26,23,CLEFT,INTERMEDIATE
WAB0034072,"15,65","0,80","76,00","25,50","1,30","6,40",20,19,CLEFT,ERECT
WAB0033063,"24,26","0,87","69,83","28,47","1,83","8,53",15,15,MIXTURE,OPEN
WAB0034109,"45,74","1,43","115,62","26,38",,"0,58",13,24,,
WAB0034112,"31,54","1,23","109,33","28,63","2,17","6,47",31,26,ACUTE TO ACCUMUNATE,ERECT
WAB0034116,"24,06","1,13","81,33","27,40","1,93","5,80",17,17,ACUTE TO ACCUMUNATE,ERECT
WAB0034124,"32,41","1,14","143,80","25,37",,,9,6,,
WAB0034138,"83,44","1,40","90,50","23,87","1,17","6,47",9,9,CLEFT,ERECT
WAB0034150,"39,74","1,77","103,55","30,19",,"0,51",13,18,,
WAB0034151,"18,64","1,03","68,67","26,03","1,37","5,20",17,16,CLEFT,ERECT
WAB0034153,"33,22","1,69","129,43","26,06",,"0,52",20,15,,
WAB0034178,"33,82","1,79","105,55","25,01",,"0,57",14,22,,
WAB0034179,"26,96","1,13","82,33","26,93","2,23","6,43",19,18,CLEFT,ERECT
WAB0034189,"46,24","1,93","123,64","26,36",,"0,55",21,15,,
WAB0034191,"37,06","1,87","142,39","24,42","1,07","5,97",8,8,,
WAB0034192,"41,28","2,00","133,94","23,79","1,20","0,65",17,14,,
WAB0034207,"31,05","0,90","102,00","30,40","3,80","6,00",8,48,CLEFT,ERECT
WAB0034208,"26,05","1,30","98,00","22,60","1,50","8,50",5,5,ACUTE TO ACCUMUNATE,ERECT
WAB0034209,"36,31","1,65","121,06","31,08",,"5,00",39,16,,
WAB0034211,"28,32","1,00","85,00","18,60","1,43","6,07",5,5,CLEFT,ERECT
WAB0034229,"33,83",,"113,94","27,80","0,83",,14,14,,
WAB0034236,"36,54","1,87","123,38","26,34","1,14",,16,12,,
WAB0034238,"16,78","0,97","69,00","17,53","1,53","4,77",22,19,ACUTE TO ACCUMUNATE,ERECT
WAB0034244,"50,46","1,57","114,84","24,51",,"0,60",11,9,,
WAB0034275,"48,08","1,73","113,33","31,77","0,47","5,50",22,5,TIP ROUND OR TRUNCATE,INTERMEDIATE
WAB0034279,"33,58",,"124,81","28,58",,"0,50",18,17,,
WAB0034287,"20,78","1,23","95,33","22,23","1,03","5,77",9,9,MIXTURE,ERECT
WAB0034288,"33,64","1,60","115,78","27,16",,,29,24,,
WAB0034291,"43,26","1,73","101,00","23,65",,,18,29,,
WAB0034298,"18,70","1,03","71,67","21,77","0,80","4,80",5,4,ACUTE TO ACCUMUNATE,ERECT
WAB0034309,"42,81",,"132,73","24,53","1,58","0,89",21,16,,
WAB0034326,"21,00","1,23","82,00","24,63","1,03","5,90",7,6,ACUTE TO ACCUMUNATE,ERECT
WAB0034344,,"1,47","166,70",,,,7,6,,
WAB0034352,"40,75","1,40","114,00","27,20","2,70","7,30",45,43,ACUTE TO ACCUMUNATE,ERECT
WAB0034377,"35,11","1,30","121,77","23,01",,"0,53",18,14,,
WAB0034453,"29,94","0,97","82,00","30,43","1,97","5,67",21,19,CLEFT,ERECT
WAB0034567,"46,09",,"141,84","24,86","1,65","0,66",15,14,,
WAB0034728,"35,75","1,26","138,77","27,41",,,21,14,,
WAB0034730,"42,08","1,23","120,67","32,27","0,47","6,73",20,8,TIP ROUND OR TRUNCATE,SPREADING
WAB0034761,"45,54",,"135,76","26,19",,"0,56",29,23,,
WAB0034797,"42,46","1,78","141,13","21,36",,,18,11,,
WAB0034825,"37,33","1,99","112,14","27,90",,,18,11,,
WAB0034869,"36,24","1,53","126,67","25,97","1,83","6,10",12,10,CLEFT,ERECT
WAB0034900,"38,81","1,94","122,35","23,40",,,29,21,,
WAB0034929,"20,45","0,90","75,00","24,20","2,20","5,20",29,28,CLEFT,ERECT
WAB0034943,"44,57",,"112,56","25,63",,"0,56",29,25,,
WAB0034949,"37,87","1,60","128,53","28,52",,"0,60",27,21,,
WAB0035065,"41,70","1,36","133,30","27,07",,"0,53",22,18,,
WAB0035075,"21,93","1,25","78,50","26,30","1,65","6,15",16,14,CLEFT,INTERMEDIATE
WAB0035119,"35,66","1,63","101,33","30,20","2,10","6,47",8,7,MIXTURE,ERECT
WAB0035172,"26,64","1,03","74,67","25,10","1,53","6,13",14,12,CLEFT,ERECT
WAB0035181,"28,90","1,17","74,33","26,53","1,77","6,47",19,17,ACUTE TO ACCUMUNATE,ERECT
WAB0036163,"33,48","2,23","113,31","25,24",,,24,22,,
WAB0036192,"31,03","2,03","109,02","25,22",,,21,15,,
WAB0036223,"51,87","1,53","120,71","29,60","0,91","0,69",22,10,,
WAB0037028,"37,82","1,62","130,68","28,89",,"0,52",15,11,,
WAB0037036,"40,16",,"129,12","19,86",,"0,59",13,8,,
WAB0037135,"33,12","1,47","120,00","22,30","1,17","8,23",7,6,MIXTURE,ERECT
WAB0037419,"33,94","1,70","125,37","22,67",,"0,55",20,17,,
WAB0037423,"32,36","1,63","123,80","31,08",,,41,3,,
WAB0038058,"34,98","1,53","118,33","27,57","1,63","6,37",7,6,ACUTE TO ACCUMUNATE,ERECT
WAB0038411,"32,72","1,43","117,00","25,57","1,10","7,70",13,11,CLEFT,ERECT
WAB0038421,"31,47","1,71","134,60","23,00","1,47",,12,11,,
WAB0038424,"33,64","1,43","120,67","26,67","1,10","9,10",13,11,CLEFT,ERECT
WAB0038848,"33,04","1,70","118,00","25,47","1,03","8,20",11,8,CLEFT,ERECT
WAB0038853,"35,10","1,20","99,67","25,93","2,73","8,07",6,6,ACUTE TO ACCUMUNATE,ERECT
WAB0038887,"37,32","1,57","112,67","29,23","2,20","5,30",12,11,CLEFT,ERECT
WAB0038888,"31,00","2,00","107,00","24,40","2,10","7,00",5,4,CLEFT,ERECT
WAB0038918,"30,62","1,80","97,04","25,27","1,68","3,50",17,16,,
WAB0038920,"30,68","1,73","90,00","24,60","1,83","7,43",14,13,ACUTE TO ACCUMUNATE,ERECT
WAB0038928,"36,30","1,40","128,87","32,13",,,13,10,,
WAB0012167,"34,20","1,80","103,67","27,27",,,6,5,,
WAB0038950,"30,06","1,90","117,67","27,47","1,50","8,47",7,6,CLEFT,ERECT
